year,party_code,uo_code,delta_mkr,source_url,source_section
2025,S,UO01,-280,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO02,50,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO03,0,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO04,145,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO05,0,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO06,0,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO07,1000,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO08,0,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO09,363,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO10,234.3,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO11,1050,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO12,5369,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO13,92,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO14,1017,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO15,774,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO16,4710,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO17,1696,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO18,510,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO19,2620,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO20,1300,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO21,100,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO22,1675,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO23,155,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO24,180,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO25,8126,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO26,0,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO27,0,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,C,UO01,-580,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO02,-4,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO03,-170,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO04,450,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO05,0,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO06,350,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO07,1703,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO08,-105,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO09,311,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO10,-760,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO11,0,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO12,-1300,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO13,580,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO14,-15474.5,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO15,-86.8,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO16,5086.8,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO17,745,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO18,10,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO19,55,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO20,4990,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO21,355,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO22,1000,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO23,340,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO24,25,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO25,5300,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO26,0,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO27,0,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,MP,UO01,211.4,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO02,50,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO03,0,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO04,1627,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO05,77.8,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO06,874,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO07,12509,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO08,357,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO09,12295,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO10,3804,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO11,0,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO12,7294,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO13,3024.9,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO14,1982,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO15,2345,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO16,5462.8,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO17,2892.902,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO18,10539.2,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO19,100,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO20,24160.5,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO21,13349,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO22,39377,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO23,3732.88,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO24,353,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO25,966,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO26,0,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,MP,UO27,0,https://data.riksdagen.se/fil/675F19E7-DA8F-49B8-977C-A4A8F3D25138,"Tabell A: Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:3220)"
2025,V,UO01,316.3,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO02,144,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO03,100,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO04,95,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO05,51.6,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO06,0,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO07,10598.544,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO08,105,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO09,6278,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO10,16050.3,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO11,3300,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO12,14387.9,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO13,1569,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO14,18671,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO15,620,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO16,5385,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO17,2367,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO18,6871,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO19,170,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO20,15486,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO21,4305,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO22,15447,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO23,3007,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO24,527,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO25,6647,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO26,0,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
2025,V,UO27,0,https://data.riksdagen.se/fil/06D97284-41A0-430E-A8FA-52B2DC39D86C,"Tabell 9 Vänsterpartiets förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:1924)"
